x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,y
"0,9026446008","0,5681807169","0,6157907016","0,09896433154","0,6626652655","0,2972358556","0,8486749003","0,7198909887","0,1464097438","0,4307098035","0,5165351191","-6,60144711"
"0,9414223947","0,9630460671","0,5323083925","0,2738079311","0,1922593705","0,4375152075","0,110935393","0,1592516764","0,2978153141","0,1409720461","0,6273372218","-8,260904631"
"0,8554333416","0,7118985581","0,1215686164","0,864580216","0,0250472599","0,04796919416","0,02513692779","0,7505339689","0,2437118071","0,5943017887","0,5487459708","-12,32569594"
"0,3715233707","0,2613267245","0,7992728664","0,800611379","0,5497831093","0,4440624382","0,5955113729","0,4679993038","0,7844535464","0,7957530212","0,8776913975","-9,466234823"
"0,5220313823","0,8231226463","0,709905267","0,3043185231","0,3934496547","0,4764902954","0,4889747993","0,266958118","0,5692748065","0,04255560585","0,8547174289","-7,354223485"
"0,3603598925","0,4369063549","0,712256188","0,1652141782","0,7688245606","0,5652165773","0,03099112704","0,08056422526","0,298570844","0,02157490106","0,1137741116","-3,497713874"
"0,7493022468","0,3356523856","0,2931106607","0,2101508645","0,4370870166","0,7014127998","0,7418086841","0,1274264183","0,888693548","0,3244177867","0,09695482645","-8,028268836"
"0,3016855116","0,5873133958","0,991546086","0,5635689468","0,5642133326","0,1884598746","0,2642287105","0,6200563434","0,8404751977","0,501143552","0,9143557815","-8,990622738"
"0,8781650561","0,6426999601","0,3595312459","0,4959443851","0,332053486","0,1679884162","0,4216616224","0,7357797028","0,196861908","0,5155340037","0,5332367914","-9,532879212"
"0,7332955486","0,5202970163","0,2714430814","0,3953525946","0,6801222154","0,3823035839","0,4749999225","0,5016400226","0,71714352","0,7919235812","0,3896072096","-7,263207055"
"0,5715355186","0,2400636696","0,8751789225","0,8422295593","0,3557908153","0,2726526063","0,6406777882","0,04164971274","0,8725329157","0,3759317321","0,5318238504","-12,71627753"
"0,09453930116","0,7499203872","0,6483398464","0,3221831468","0,9950304411","0,8032697727","0,984554834","0,7908070518","0,3828475969","0,9975012497","0,0235473519","-2,049599667"
"0,6659142994","0,9065110793","0,5301049623","0,7347936016","0,06103616628","0,3598951815","0,7511050455","0,6397065231","0,8626516066","0,6327783432","0,6910525207","-12,71762555"
"0,7315437378","0,3304412773","0,6817906173","0,9192454008","0,2648419434","0,5024867624","0,6142542299","0,9333031301","0,02943542853","0,282345043","0,02314083074","-12,02427318"
"0,3667262681","0,8095508502","0,1591492111","0,5292528929","0,8133652348","0,2052343658","0,6689387107","0,4619154067","0,712475654","0,5279162783","0,08933482616","-6,51637878"
"0,4962708935","0,07006120772","0,3324089208","0,4119027003","0,4445507058","0,5288753772","0,7905755555","0,9673705539","0,05103638568","0,2869991354","0,3943272152","-6,996950925"
"0,2317817059","0,6404000479","0,0684335034","0,04845591498","0,1120563074","0,0403886384","0,8744971081","0,03360941131","0,9163227603","0,7640402163","0,7781752659","-7,009390909"
"0,2662023045","0,3377869625","0,5340632941","0,7951582127","0,3530467174","0,3561378584","0,6815376527","0,2669344332","0,837830807","0,2546374078","0,623169045","-10,44300584"
"0,9988867254","0,8033733742","0,5854793845","0,2159362957","0,8229996087","0,3120319255","0,02651473389","0,8544883674","0,0008296611514","0,1536507202","0,6165014344","-5,458307212"
"0,9131200701","0,6062147552","0,7445992195","0,4010920533","0,5612774617","0,9789553471","0,1791564481","0,7297245776","0,5524584103","0,6312973192","0,4912008445","-7,225713116"
"0,5791085293","0,09537586997","0,003887845466","0,2362960814","0,05465540939","0,9547202853","0,00373612598","0,2456578114","0,5997368039","0,2647612005","0,2097712932","-6,750341078"
"0,3872616058","0,8218716586","0,8828638462","0,8607865973","0,4295240797","0,545051295","0,9406093773","0,6879445336","0,3235039018","0,3966857529","0,8945311932","-9,317144974"
"0,1662783779","0,791640916","0,4437860654","0,8246182189","0,9609626291","0,8821998937","0,4482633402","0,2753046524","0,05938307163","0,06057191441","0,4246162656","-2,77084091"
"0,8396736894","0,497014068","0,9132172018","0,3247091282","0,6157736088","0,5043010622","0,8345544416","0,6357622414","0,3777035042","0,7538313708","0,8495020253","-7,63841518"
"0,2988997002","0,02221668075","0,1137455181","0,4535801175","0,1647335375","0,646943412","0,1040342562","0,07294422489","0,7516193393","0,4238435037","0,1786357505","-7,652842652"
